Age Group,Programs,Agencies,Short Description that relate to program,Address,Phone Number,,Registration,Cost,Logo,Entered Into the database
6-12,Child Care,Delta Parks & Recreation,"May offer: Winter break, Spring Break and Summer Day Camps","Sungod Recreation Centre, 7815 112 Street, Delta, BC V4C 4V9",604-952-3075,http://www.delta.ca/parks-recreation/activity-search,Registered,Paid,,
6-12,Childcare,Cartwheels Incorporated,"Full day camps are offered during the summer, winter holidays and spring break. Half day camps are offered during the summer","#21 – 13260 78th Ave Surrey, BC",604-594-1555,www.cartwheels.ca,Registered,Paid,,
6-12,Childcare,Vancouver All Star Cheer,Cheerleading Summer Camps,"1321A - 56th Street, Delta, BC V4L 2A6",604-657-8758,http://www.vancouverallstarcheer.com/,Registered,Paid,,
6-12,Childcare,Surrey Gymnastics Society,Pro-D days and summer camp,"13940 – 77th Avenue, Surrey BC",604-594-2442,www.surreygym.com,Registered,Paid,,
6-12,Childcare,South Delta Baptist,Summer camp ,"1988 56 Street, V4L2B1",604-943-8244 ,http://www.southdelta.org/,Registered,Paid,,
0-5,Childcare,Studio West,Summer Camps for Dance,"2nd Floor, 4866 Delta Street
Ladner, B.C.  V4K 2T8",604-940-9953,http://www.studiowestdance.ca/,Registered,Paid,,
6-12,Childcare,Studio West,Summer Camps for Dance,"2nd Floor, 4866 Delta Street
Ladner, B.C.  V4K 2T8",604-940-9953,http://www.studiowestdance.ca/,Registered,Paid,,
6-12,Childcare,Pony Pals Riding Stables,Summer camp & Pro-D Camps,"3885B 96th Street, Delta BC ",604-590-0097,http://www.ponypals.ca/index.html,Registered,Paid,,
6-12,Childcare,Burns Bog Conservation Society,Day camps are offered during the summer,"4-7953 120th Street 
Delta, BC V4C 6P6",604.572.0373 ,www.burnsbog.org,Registered,Paid,,
6-12,Childcare,Surrey Arts Umbrella,"Spring break, Summer camps and Pro-D camps","N116 – 15850 26 Ave, South Surrey, BC V3Z 2N6",604-535-1127,www.artsumbrella.com/surrey,Registered,Paid,,
0-5,Childcare & Preschools,Cartwheels Incorporated,Partial day camps are offered during the summer.,"#21 – 13260 78th Ave Surrey, BC",604-594-1555,www.cartwheels.ca,Registered,Paid,,
0-5,Childcare & Preschools,Reach Child & Youth Development Society,Reach Developmental Preschool North Delta,"10921 82 Ave, Delta, BC V4C 2B2",604-946-6622 ext 308,http://reachdevelopment.org/reach-developmental-preschool-north-delta.html,Registered,Paid,,Done
0-5,Childcare & Preschools,The Centre for Child Development of the Lower Mainland,"The Centre for Child Development provides play-based, inclusive preschool programs in Surrey and Delta. Our structured environment and positive teacher-child interactions promote learning and development of the whole child.","11405-84th Avenue
 Delta, BC",604-594-0488,http://the-centre.org/child-care-preschool/,Registered,Paid,,
0-5,Childcare & Preschools,Tsawwassen First Nation,"Smuyuq’wa’ Lelum Early Childhood Development Centre is a fully licensed, state of the art, childcare facility, providing quality care for children aged 6 months to 6 years.","1926 Tsawwassen Dr N, Delta, BC",604-943-1322 ext 224,http://tsawwassenfirstnation.com/programs-and-services/smuyuqwa-lelum-ecd-centre/,Registered,Paid,,Done
0-5,Childcare & Preschools,Reach Child & Youth Development Society,Reach Developmental Preschool South Delta,"3-3800 72nd Street, Ladner",604-946-6622 ext 308,http://reachdevelopment.org/reach-developmental-preschool-south-delta.html,Registered,Paid,,Done
"1988 56th Street, Delta, BC V4L 2B1",Childcare & Preschools,South Delta Baptist Church,"First Steps Preschool - First Steps Preschool is a high quality, play based preschool. We embrace the philosophy that children “play to learn and learn to play.” During purposeful playtime, children will develop social relationships, a love for learning, and creative thinking skills for their ever-changing world. Our teachers are committed to working together with the families to foster and nurture their child’s first formal learning experiences.","1988 56th Street, Delta, BC V4L 2B1",(604) 943-8244,www.first-steps.net,Registered,Paid,,
0-5,Childcare & Preschools,Childcare Resource Referral,Listing of preschools and childcare providers,"Newton Early Years Centre
100-6846 King George Boulevard
Surrey, B.C. V3W 4Z9",604.572.8032,http://www.childcareoptions.ca/,Registered,Paid,,
0-5,Childcare & Preschools,Delta Parks & Recreation,"Program emphasis is on creative play, crafts, arts, music, singing, science & social studies.","Ladner Community Centre,4734 51 Street, Delta, BC V4K 3R8",604-946-9226,http://www.delta.ca/parks-recreation/sport-recreation/featured-programs-promotions/delta-parks-recreation-playtime-programs,Registered,Paid,,
0-5,Childcare & Preschools,Delta Parks & Recreation,"Program emphasis is on creative play, crafts, arts, music, singing, science & social studies.","North Delta Recreation Centre, 11415 84 Avenue, Delta, BC V4C 2L9",604-952-3045,http://www.delta.ca/parks-recreation/sport-recreation/featured-programs-promotions/delta-parks-recreation-playtime-programs,Registered,Paid,,
0-5,Childcare & Preschools,Delta Parks & Recreation,"Program emphasis is on creative play, crafts, arts, music, singing, science & social studies.","Pinewood Leisure Centre, 11777 Pinewood Drive, Delta, BC V4E 3E9",604-952-3075,http://www.delta.ca/parks-recreation/sport-recreation/featured-programs-promotions/delta-parks-recreation-playtime-programs,Registered,Paid,,
6-12,Community Clubs,Navy League,"Leadership, sailing, camping, first aid, drilling","555 Derwent Way, Delta, BC V3M 6S9",604-525-2298,http://www.joinseacadets.ca/contact_us.html,Registered,Paid,,Done
6-12,Community Clubs,Air Cadets,"Leadership, flying, band & service","North Delta Recreation Centre
11415 84 Ave,
Delta, BC V4C 2L9",604-670-9892,http://www.northdeltaaircadets.net/,Registered,Paid,,
6-12,Community Clubs,Air Cadets,"Leadership, flying, band & service","South Delta Recreation Centre
1720 56 St, Delta, BC V4L 2B1",604-943-4321,http://828rcacs.weebly.com/,Registered,Paid,,
6-12,Community Clubs,Scouting,"Leadership & service: Scouts have fun adventures discovering new things and experiences they wouldn’t discover elsewhere. Along the way they develop into capable, confident and well-rounded individuals, better prepared for success in the world. Scouts is the start of something great. It starts with Scouts.",Various locations,,http://www.scouts.ca/ca/netforum_Locator/search,Registered,Paid,,
6-12,Community Clubs,Girl Guides,Leadership & service,,1-800-565-8111,http://www.bc-girlguides.org/web/,Registered,Paid,,
6-12,Community Clubs,Sunshine Ridge Baptist,Day camps are offered during the summer,"6230 120 St, Surrey, BC V3X 1Y7",604-594-5512,http://www.srbc.ca/,Registered,Paid,,
6-12,Community Clubs,"Surrey, Richmond, Delta 4-H Club","Animal husbandry, small machinery",,,http://bc4h.bc.ca/projects/clubs/allclubs#fvr,Registered,Paid,,
0-5,Education,Boys & Girls Club of the South Coast,North Delta Family Resource Centre offers educational programs and parent & child drop-in times. See schedule for more details.,"11838 88th Avenue, Delta (Located New Hope Church)",604-591-9262 (ext.118 / 583),https://www.bgcbc.ca/what-we-do/counselling-support-services/early-years-services/,Drop In,Free,,
0-5,Education,Tsawwassen Library,"Babytime, Storytime","1321A - 56th Street
 Delta, BC V4L 2A6",604-943-2271,https://fvrl.bibliocommons.com/locations/SD,Drop In,Free,,
6-12,Education,Tsawwassen Library,"Knit & Stitch, Lego Club, Story Time, Library Ukulele, see website for special events","1321A - 56th Street
 Delta, BC V4L 2A6",604-943-2271,https://fvrl.bibliocommons.com/locations/SD,Drop In,Free,,
0-5,Education,Boys & Girls Club of the South Coast,The Ladner Early Childhood Development Hub offers educational programs and parent & child drop-in times. See schedule for more details.,"205-5000 Bridge Street, Ladner, BC",604 946 3933,https://www.bgcbc.ca/what-we-do/counselling-support-services/early-years-services/,Drop In,Free,,
0-5,Education,Ladner Pioneer Library,"Babytime, Storytime, Parent Child Mother Goose","4683 - 51st Street, Delta, BC V4K 2V8",604-946-6215,https://fvrl.bibliocommons.com/locations/LD,Drop In,Free,,
6-12,Education,Ladner Pioneer Library,"Knit & Stitch, Lego Club, Story Time, see website for special events","4683 - 51st Street, Delta, BC V4K 2V8",604-946-6215,https://fvrl.bibliocommons.com/locations/LD,Drop In,Free,,
0-5,Education,George Mackie Library,"Babytime, Storytime, Parent Child Mother Goose","8440 - 112th Street
 Delta, BC V4C 4W9",604-594-8155,https://fvrl.bibliocommons.com/locations/ND,Drop In,Free,,
6-12,Education,George Mackie Library,"Knit & Stitch, Lego Club, Story Time, Paws 4 Stories, see website for special events","8440 - 112th Street
 Delta, BC V4C 4W9",604-594-8155,https://fvrl.bibliocommons.com/locations/ND,Drop In,Free,,
0-5,Education,Delta School District,Strong Start: Strong Start are Free drop-in early learning programs that promote growth and development in all areas for preschool-aged children. For dates and times call the school or check the calendar.,"Chalmers Elementary School
11315 75th Avenue, North Delta",604.594.5437,https://www.deltasd.bc.ca/content/programs/strongstart,Drop In,Free,,
0-5,Education,Francaphone School District,"Franc Depart: The Franc départ program (Strong Start) is a Ministry of Education initiative implemented by the CSF (francophone education authority) and the FPFCB (Francophone Parents Federation of BC). Its mission is to invite francophone children from birth to age five, accompanied by their adult parent or guardian, to participate in a variety of French-language activities at the Franc départ location, at no cost to participants. Contact ebj-francdepart@csf.bc.ca for more information.","École du Bois-joli, 785 49th Street, Delta, BC",604-948-2385,http://www.fpfcb.bc.ca/files/francdepart_flyer_13july_en.pdf,Drop In,Free,,
0-5,Education,Delta School District,Strong Start: Strong Start are Free drop-in early learning programs that promote growth and development in all areas for preschool-aged children. For dates and times call the school or check the calendar.,"Gibson Elementary School,
11451 90th Avenue, North Delta",604.594.7588,https://www.deltasd.bc.ca/content/programs/strongstart,Drop In,Free,,
0-5,Education,Delta School District,Strong Start: Strong Start are Free drop-in early learning programs that promote growth and development in all areas for preschool-aged children. For dates and times call the school or check the calendar.,"Heath Elementary School, 11364 72nd Avenue, North Delta",604.596.1508,https://www.deltasd.bc.ca/content/programs/strongstart,Drop In,Free,,
0-5,Education,Delta School District,Strong Start: Strong Start are Free drop-in early learning programs that promote growth and development in all areas for preschool-aged children. For dates and times call the school or check the calendar.,"Hellings Elementary School, 11655 86th Avenue, North Delta",604.596.1701 ,https://www.deltasd.bc.ca/content/programs/strongstart,Drop In,Free,,
0-5,Education,Delta School District,Strong Start: Strong Start are Free drop-in early learning programs that promote growth and development in all areas for preschool-aged children. For dates and times call the school or check the calendar.,"Jarvis Elementary School, 7670 118th Street, North Delta",604.594.3484,https://www.deltasd.bc.ca/content/programs/strongstart,Drop In,Free,,
0-5,Education,Delta School District,Strong Start: Strong Start are Free drop-in early learning programs that promote growth and development in all areas for preschool-aged children. For dates and times call the school or check the calendar.,"Ladner Elementary School, 5016 44th Avenue, Ladner",604.946.4158,https://www.deltasd.bc.ca/content/programs/strongstart,Drop In,Free,,
0-5,Education,Delta School District,Strong Start: Strong Start are Free drop-in early learning programs that promote growth and development in all areas for preschool-aged children. For dates and times call the school or check the calendar.,"McCloskey Elementary School, 11531 80th Avenue, North Delta",604.596.9554,https://www.deltasd.bc.ca/content/programs/strongstart,Drop In,Free,,
0-5,Parent & Child,North Delta Evangelical Free Church, Time Out for Mommy & Me (0-5): Drop-in program for moms/dads/ caregivers. We offer a wide variety of free play activities suitable for children from babies to kindergarten; arts and crafts; snack time; circle time with stories and songs. Weekly clothing exchanges.,"11300 - 84th Avenue
Delta",604 596-4554 ,http://www.kidsvancouver.com/directory/playgroups/north-delta-evangelical-free-church,Drop In,Free,,
0-5,Parent & Child,North Delta Early Years Centre,"The Early Years Centre is a new provincial program introduced to many communities throughout BC to help families with young children (0-5 yrs), access programs, get information of child development, parenting, health, nutrition, community programs and referrals. The Delta Early Years Centre is a part of REACH Child and Youth Development Society. Check the calendar or Facebook page for Family Drop in","11415 84 Ave, Delta, BC V4C 2L9",,https://www.facebook.com/deltaearlyyears/,Drop In,Free,,
0-5,Parent & Child,Boys & Girls Club of the South Coast,North Delta Family Resource Centre offers educational programs and parent & child drop-in times. See schedule for more details.,"11838 88th Avenue, Delta (Located New Hope Church)",604-591-9262 (ext.118 / 583),https://www.bgcbc.ca/what-we-do/counselling-support-services/early-years-services/,Drop In,Free,,
0-5,Parent & Child,Surrey Gymnastics Society,Looking for a safe place for you child to burn off some energy? Bring them to the gym where they can play in the foam pit and experience all our equipment!,"13940 – 77th Avenue, Surrey BC",604-594-2442,www.surreygym.com,Registered,Paid,,
0-5,Parent & Child,Boys & Girls Club of the South Coast,The Ladner Early Childhood Development Hub offers educational programs and parent & child drop-in times. See schedule for more details.,"205-5000 Bridge Street, Ladner, BC",604 946 3933,https://www.bgcbc.ca/what-we-do/counselling-support-services/early-years-services/,Drop In,Free,,
0-5,Parent & Child,Ladner Christian Reformed Church,The Well,"4594 54a St, Delta, BC V4K 2Z8",604-946-7033,https://www.facebook.com/groups/TheWellLadner,Drop In,Free,,
0-5,Parent & Child,Immaculate Conception Parish,Drop-In for parent and tot,"8842 119th Street, Delta, BC, V4C 6M4",604-591-2271 ,https://icdelta.ca/https://icdelta.ca/ic-mom-tots-drop-in,Drop In,Free,,
0-5,Sports,Cartwheels Incorporated,"Gymnastics: The Little People Program is a physical activity program especially for pre-schoolers and children in Kindergarten.  It’s suitable for any youngster who is: wanting to Learn, needing Activity, yearning for Adventure, eager to Move, hungry for Skills and craving Excitement!

","#21 – 13260 78th Ave Surrey, BC",604-594-1555,www.cartwheels.ca,Registered,Paid,,
6-12,Sports,Cartwheels Incorporated,Gymnastics and Cheerleading: There are competitive and recreational classes.,"#21 – 13260 78th Ave Surrey, BC",604-594-1555,www.cartwheels.ca,Registered,Paid,,
6-12,Sports,Adrenaline All Stars,"Cheerleading: Adrenaline is committed to helping each athlete reach his or her full potential, and we are proud of our well-rounded approach to training. We consider each aspect of the physical, mental and emotional athlete to be important, and strive to cultivate strength in all areas. ","#21 13260-78th ave
Surrey, BC",604-594-1555,http://www.adrenalineas.com/,Registered,Paid,,
6-12,Sports,Tsawwassen Lawn Bowling Club,Lawn Bowling,"1050 54a St, Delta, BC V4M 4B4",604-943-6882,https://www.tsawwassenlawnbowl.org/,Registered,Paid,,
6-12,Sports,Delta Thistle Curling Association,"The Delta Thistle Curling Club offers an excellent junior curler development program for curlers ages 9-18. Each Saturday morning between late September and early March, junior curlers learn and practice basic curling shot-making, sweeping skills and gain experience with rules and strategies of the game from our volunteer coordinators and instructors.","11415 84th Ave
North Delta BC  V4C 2L9",604.594.2323,www.deltathistle.ca,Registered,Paid,,
6-12,Sports,Vancouver All Star Cheer,"Cheerleading: Vancouver All Stars is committed to excellence. We strive to teach our cheer athletes valuable life skills through cheer. We aim to build self-confidence, character and a good work ethic. We value effort, diligence, teamwork and good sportsmanship. VAS is a community of positive leaders fueled by passion, pride and spirit. Tumbling, Birthday parties","1321A - 56th Street, Delta, BC V4L 2A6",604-657-8758,http://www.vancouverallstarcheer.com/,Registered,Paid,,
6-12,Sports,Surrey Gymnastics Society,"Gymnastics: Competitive and Recreactional, Trampoline & Birthday Parties: Athletes in our programs learn the working structure for planning, goal setting, time management, discipline, and many other life skills important for future development in sport and as individuals. Through personalized attention, they’ll learn the basics of rolling, springing, swinging, rotation, locomotion, and landing safely in a healthy gymnastics environment.","13940 – 77th Avenue, Surrey BC",604-594-2442,www.surreygym.com,Registered,Paid,,
0-5,Sports,Surrey Gymnastics Society,"Gymnastics: Recreactional - Athletes in our programs learn the working structure for planning, goal setting, time management, discipline, and many other life skills important for future development in sport and as individuals. Through personalized attention, they’ll learn the basics of rolling, springing, swinging, rotation, locomotion, and landing safely in a healthy gymnastics environment.","13940 – 77th Avenue, Surrey BC",604-594-2442,www.surreygym.com,Registered,Paid,,
6-12,Sports,Tsawwassen Tennis Club,"Tennis: Welcome to the friendliest little tennis club in metro Vancouver, Canada. We are an inclusive club that welcomes tennis players of all levels. For those just starting out, both Junior and Adult training is available through the club. For the more experienced player, we have an engaged and talented membership that will challenge you. The social component of the club is also significant: the Friday Evening Socials have been a mainstay of the club for over 40 years. ","286 English Bluff Rd, Delta, BC V4M 2N1",604-230-4966,www.tsawwassentennis.club,Registered,Paid,,
0-5,Sports,Pony Pals Riding Stables,"Horseback Riding: For riders age 4 – 6, on the lead line. Games, exercises and play incorporated.","3885B 96th Street, Delta BC ",604-590-0097,http://www.ponypals.ca/index.html,Registered,Paid,,
6-12,Sports,Pony Pals Riding Stables,Horseback Riding,"3885B 96th Street, Delta BC ",604-590-0097,http://www.ponypals.ca/index.html,Registered,Paid,,
6-12,Sports,Red Tiger Martial Arts,"Karate: Through quality martial arts instruction, we create a positive and empowering experience for every person who enters our schools. By teaching fitness, health, discipline, self-defense and life skills, we inspire our students to become leaders in their communities.","3900 Arthur Dr., Delta BC,
Sacred Heart Gymnasium",604-526-5425 ,http://redtigermartialarts.com/,Registered,Paid,,
0-5,Sports,Country Lane Farm,Horseback Riding lessons,"3951 33A Avenue
Delta B.C. V4K 3N2
Canada",604-880-8687,https://www.countrylanewarmbloods.com/,Registered,Paid,,
6-12,Sports,Country Lane Farm,Horseback Riding lessons,"3951 33A Avenue
Delta B.C. V4K 3N2
Canada",604-880-8687,https://www.countrylanewarmbloods.com/,Registered,Paid,,
0-5,Sports,Delta Gymnastics,Gymnastics,"4680 Clarence Taylor Cres. Delta, V4K 3X3",604-943-0460,http://deltagymnastics.com/,Registered,Paid,,
